date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:15	36044/36044	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:35%20GMT	http://dingleberry.me/about/	./dingleberry/dingleberry.me/about/index.html	(from http://dingleberry.me/)
11:22:15	26517/26517	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:35%20GMT	http://dingleberry.me/tag/cmdb/	./dingleberry/dingleberry.me/tag/cmdb/index.html	(from http://dingleberry.me/)
11:22:15	39432/39432	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:35%20GMT	http://dingleberry.me/2014/06/playing-with-saltstack-and-external-classifiers/	./dingleberry/dingleberry.me/2014/06/playing-with-saltstack-and-external-classifiers/index.html	(from http://dingleberry.me/)
11:22:15	702/702	---M--	200	added ('OK')	image/png	etag:%2252ea5a0a-2be%22	http://dingleberry.me/wp-content/plugins/wp-wall/i/right.png	./dingleberry/dingleberry.me/wp-content/plugins/wp-wall/i/right.png	(from http://dingleberry.me/)
11:22:16	5271/5271	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:37%20GMT	http://dingleberry.me/wp-login.php	./dingleberry/dingleberry.me/wp-login.html	(from http://dingleberry.me/)
11:22:17	27655/27655	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:39%20GMT	http://dingleberry.me/tag/salt/	./dingleberry/dingleberry.me/tag/salt/index.html	(from http://dingleberry.me/)
11:22:17	27675/27675	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:39%20GMT	http://dingleberry.me/tag/saltstack/	./dingleberry/dingleberry.me/tag/saltstack/index.html	(from http://dingleberry.me/)
11:22:19	41855/41855	---M--	200	added ('OK')	application/x-javascript	etag:%2252ea5a40-a37f%22	http://dingleberry.me/wp-content/uploads/shadowbox-js/afc2df7514bde3dd091bff35b2661175.js?ver=3.0.3	./dingleberry/dingleberry.me/wp-content/uploads/shadowbox-js/afc2df7514bde3dd091bff35b266117519ce.js	(from http://dingleberry.me/)
11:22:20	23516/23516	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:39%20GMT	http://dingleberry.me/tag/dd/	./dingleberry/dingleberry.me/tag/dd/index.html	(from http://dingleberry.me/)
11:22:20	36371/36371	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:39%20GMT	http://dingleberry.me/2014/04/retrieving-files-from-a-broken-harddrive-on-linux/	./dingleberry/dingleberry.me/2014/04/retrieving-files-from-a-broken-harddrive-on-linux/index.html	(from http://dingleberry.me/)
11:22:20	21290/21290	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:41%20GMT	http://dingleberry.me/tag/ddrescue/	./dingleberry/dingleberry.me/tag/ddrescue/index.html	(from http://dingleberry.me/)
11:22:21	21282/21282	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:42%20GMT	http://dingleberry.me/tag/e2fsck/	./dingleberry/dingleberry.me/tag/e2fsck/index.html	(from http://dingleberry.me/)
11:22:22	21278/21278	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:42%20GMT	http://dingleberry.me/tag/dmesg/	./dingleberry/dingleberry.me/tag/dmesg/index.html	(from http://dingleberry.me/)
11:22:22	21294/21294	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:43%20GMT	http://dingleberry.me/tag/harddrive/	./dingleberry/dingleberry.me/tag/harddrive/index.html	(from http://dingleberry.me/)
11:22:22	42108/42108	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:43%20GMT	http://dingleberry.me/tag/linux/	./dingleberry/dingleberry.me/tag/linux/index.html	(from http://dingleberry.me/)
11:22:24	4960/4960	---M--	200	added ('OK')	image/gif	etag:%2248e3b120-1360%22	http://dingleberry.me/wp-content/themes/quadstripe/images/blue-bg.gif	./dingleberry/dingleberry.me/wp-content/themes/quadstripe/images/blue-bg.gif	(from http://dingleberry.me/wp-content/themes/quadstripe/blue.css)
11:22:24	21278/21278	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:44%20GMT	http://dingleberry.me/tag/mdadm/	./dingleberry/dingleberry.me/tag/mdadm/index.html	(from http://dingleberry.me/)
11:22:24	21282/21282	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:46%20GMT	http://dingleberry.me/tag/mke2fs/	./dingleberry/dingleberry.me/tag/mke2fs/index.html	(from http://dingleberry.me/)
11:22:25	21274/21274	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:20:46%20GMT	http://dingleberry.me/tag/raid/	./dingleberry/dingleberry.me/tag/raid/index.html	(from http://dingleberry.me/)
